Notal;TotalCount;P;TPS;Erreur
120000000;120000000;1;3.915801167E9;2.399411758692014E-5
120000000;120000000;1;3.908962625E9;4.383771915894088E-5
120000000;120000000;1;4.037809917E9;4.566041050647197E-5
120000000;120000000;1;4.030757541E9;1.9452896544018607E-5
120000000;120000000;1;4.03160225E9;3.565486975069169E-5
120000000;120000000;1;4.030021125E9;2.799421182320532E-5
120000000;120000000;1;4.094639167E9;5.716429306041427E-5
120000000;120000000;1;4.596251583E9;2.4015338245917213E-5
120000000;120000000;1;4.191936292E9;1.7041005577658645E-6
120000000;120000000;1;4.0544465E9;1.4277341061945405E-5
120000000;60000000;2;2.085444708E9;6.518341685897952E-5
120000000;60000000;2;2.100512292E9;6.99865499796125E-6
120000000;60000000;2;2.104300125E9;6.589430893813788E-5
120000000;60000000;2;2.116531E9;2.614303564888958E-6
120000000;60000000;2;2.165730916E9;3.8214244502947996E-5
120000000;60000000;2;2.109349042E9;2.0860724211267183E-6
120000000;60000000;2;2.15393475E9;3.908429152522049E-5
120000000;60000000;2;2.092866459E9;7.485171240281935E-5
120000000;60000000;2;2.112001167E9;6.451725143138292E-5
120000000;60000000;2;2.082291625E9;1.0202974518817082E-5
120000000;40000000;3;1.437738875E9;4.986438633729169E-5
120000000;40000000;3;1.437839166E9;2.014256796389717E-5
120000000;40000000;3;1.4402265E9;3.697283594688386E-5
120000000;40000000;3;1.444878667E9;4.892006700817605E-5
120000000;40000000;3;1.454217458E9;1.4128796448541835E-5
120000000;40000000;3;1.443161667E9;1.3702097933619226E-5
120000000;40000000;3;1.4376795E9;4.4196185030019764E-5
120000000;40000000;3;1.439115583E9;2.2903538977685837E-5
120000000;40000000;3;1.436956834E9;1.9399844896172534E-5
120000000;40000000;3;1.438468917E9;6.15251385012046E-5
120000000;30000000;4;1.080782916E9;8.39212588257683E-5
120000000;30000000;4;1.085291417E9;1.1675524991553598E-5
120000000;30000000;4;1.079505583E9;2.188266200844216E-5
120000000;30000000;4;1.080993375E9;1.969358796148076E-6
120000000;30000000;4;1.077947084E9;5.3565106013343476E-5
120000000;30000000;4;1.080921833E9;4.964989441332929E-5
120000000;30000000;4;1.078871458E9;4.7668048122684065E-5
120000000;30000000;4;1.079359292E9;7.073261920812926E-5
120000000;30000000;4;1.082046959E9;6.209809629638723E-5
120000000;30000000;4;1.227272416E9;2.496194290817639E-5
120000000;15000000;8;7.47262209E8;1.2810830252208303E-5
120000000;15000000;8;7.22170584E8;1.541264632274147E-5
120000000;15000000;8;7.46642458E8;1.7548668721856794E-6
120000000;15000000;8;9.49240292E8;1.1242786813631572E-5
120000000;15000000;8;8.10600708E8;2.8429235334412248E-5
120000000;15000000;8;7.52259125E8;2.255339810274991E-5
120000000;15000000;8;8.15192791E8;1.8551018533038472E-5
120000000;15000000;8;7.07567333E8;2.5322694112540173E-5
120000000;15000000;8;8.37656708E8;6.551233707477702E-5
120000000;15000000;8;7.55551625E8;6.494166461287928E-5
120000000;7500000;16;7.47351459E8;2.8726324561502104E-5
120000000;7500000;16;7.58927125E8;7.301384005914924E-5
120000000;7500000;16;7.55238292E8;2.5612519171842444E-6
120000000;7500000;16;8.23077167E8;1.1516867931946268E-4
120000000;7500000;16;7.63564584E8;6.276654705726872E-5
120000000;7500000;16;7.81090625E8;9.309421504262619E-6
120000000;7500000;16;7.2926225E8;4.2638751921012244E-5
120000000;7500000;16;7.20499041E8;1.453198897089976E-5
120000000;7500000;16;7.08204416E8;3.157217821127905E-5
120000000;7500000;16;6.86159292E8;8.314335860868526E-6
